,matchId,home,away,file,hometeam.id,awayteam.id
0,1826956,Luton,Hull,1826956_Luton_Hull.csv,95,214
1,1826881,Preston,Watford,1826881_Preston_Watford.csv,181,27
2,1826976,Millwall,Plymouth,1826976_Millwall_Plymouth.csv,192,212
3,1826981,Oxford,Derby,1826981_Oxford_Derby.csv,197,20
4,1827011,Cardiff,Portsmouth,1827011_Cardiff_Portsmouth.csv,188,169
5,1827008,Swansea,Stoke,1827008_Swansea_Stoke.csv,259,96
6,1826955,West Bromwich Albion,Millwall,1826955_West Bromwich Albion_Millwall.csv,175,192
7,1827006,Bristol City,Cardiff,1827006_Bristol City_Cardiff.csv,182,188
8,1826903,Sunderland,Derby,1826903_Sunderland_Derby.csv,16,20
9,1826893,Plymouth,Luton,1826893_Plymouth_Luton.csv,212,95
10,1827033,West Bromwich Albion,Swansea,1827033_West Bromwich Albion_Swansea.csv,175,259
11,1827038,Hull,Cardiff,1827038_Hull_Cardiff.csv,214,188
12,1826899,Burnley,Plymouth,1826899_Burnley_Plymouth.csv,184,212
13,1826944,Norwich,Hull,1826944_Norwich_Hull.csv,168,214
14,1826941,Sheffield United,Sheffield Wednesday,1826941_Sheffield United_Sheffield Wednesday.csv,163,25
15,1826960,Stoke,Bristol City,1826960_Stoke_Bristol City.csv,96,182
16,1826874,Hull,Bristol City,1826874_Hull_Bristol City.csv,214,182
17,1826980,Preston,Norwich,1826980_Preston_Norwich.csv,181,168
18,1826968,Derby,Hull,1826968_Derby_Hull.csv,20,214
19,1826879,Norwich,Leeds,1826879_Norwich_Leeds.csv,168,19
20,1827065,Blackburn,Sheffield United,1827065_Blackburn_Sheffield United.csv,158,163
21,1826896,Sheffield United,Watford,1826896_Sheffield United_Watford.csv,163,27
22,1826957,Hull,Sunderland,1826957_Hull_Sunderland.csv,214,16
23,1826882,Derby,Norwich,1826882_Derby_Norwich.csv,20,168
24,1826945,Portsmouth,Preston,1826945_Portsmouth_Preston.csv,169,181
25,1826936,Blackburn,West Bromwich Albion,1826936_Blackburn_West Bromwich Albion.csv,158,175
26,1826878,Watford,Sunderland,1826878_Watford_Sunderland.csv,27,16
27,1826970,Coventry,Luton,1826970_Coventry_Luton.csv,17,95
28,1826918,West Bromwich Albion,Leeds,1826918_West Bromwich Albion_Leeds.csv,175,19
29,1826902,Queens Park Rangers,Hull,1826902_Queens Park Rangers_Hull.csv,171,214
30,1826910,Luton,Sheffield Wednesday,1826910_Luton_Sheffield Wednesday.csv,95,25
31,1826964,Portsmouth,Sheffield Wednesday,1826964_Portsmouth_Sheffield Wednesday.csv,169,25
32,1827043,Leeds,Queens Park Rangers,1827043_Leeds_Queens Park Rangers.csv,19,171
33,1826969,Queens Park Rangers,Stoke,1826969_Queens Park Rangers_Stoke.csv,171,96
34,1826854,Watford,Stoke,1826854_Watford_Stoke.csv,27,96
35,1826859,Leeds,Portsmouth,1826859_Leeds_Portsmouth.csv,19,169
36,1827004,Sheffield United,Swansea,1827004_Sheffield United_Swansea.csv,163,259
37,1826971,Burnley,Coventry,1826971_Burnley_Coventry.csv,184,17
38,1826894,Plymouth,Sunderland,1826894_Plymouth_Sunderland.csv,212,16
39,1826919,Blackburn,Oxford,1826919_Blackburn_Oxford.csv,158,197
40,1826905,Watford,Coventry,1826905_Watford_Coventry.csv,27,17
41,1826857,Middlesbrough,Swansea,1826857_Middlesbrough_Swansea.csv,21,259
42,1826951,Sunderland,Leeds,1826951_Sunderland_Leeds.csv,16,19
43,1826943,Derby,Queens Park Rangers,1826943_Derby_Queens Park Rangers.csv,20,171
44,1826966,Preston,Derby,1826966_Preston_Derby.csv,181,20
45,1826942,Coventry,Sheffield Wednesday,1826942_Coventry_Sheffield Wednesday.csv,17,25
46,1827016,Oxford,Swansea,1827016_Oxford_Swansea.csv,197,259
47,1827060,Millwall,Burnley,1827060_Millwall_Burnley.csv,192,184
48,1827040,Queens Park Rangers,Middlesbrough,1827040_Queens Park Rangers_Middlesbrough.csv,171,21
49,1827061,Middlesbrough,Coventry,1827061_Middlesbrough_Coventry.csv,21,17
50,1826982,Leeds,Watford,1826982_Leeds_Watford.csv,19,27
51,1826870,Luton,Burnley,1826870_Luton_Burnley.csv,95,184
52,1826856,Burnley,Blackburn,1826856_Burnley_Blackburn.csv,184,158
53,1827052,Plymouth,Portsmouth,1827052_Plymouth_Portsmouth.csv,212,169
54,1826877,Bristol City,Sheffield Wednesday,1826877_Bristol City_Sheffield Wednesday.csv,182,25
55,1827054,Millwall,Leeds,1827054_Millwall_Leeds.csv,192,19
56,1827014,Cardiff,Millwall,1827014_Cardiff_Millwall.csv,188,192
57,1827013,Swansea,Millwall,1827013_Swansea_Millwall.csv,259,192
58,1826920,Bristol City,Coventry,1826920_Bristol City_Coventry.csv,182,17
59,1827049,West Bromwich Albion,Burnley,1827049_West Bromwich Albion_Burnley.csv,175,184
60,1826861,Leeds,Hull,1826861_Leeds_Hull.csv,19,214
61,1827034,Derby,Cardiff,1827034_Derby_Cardiff.csv,20,188
62,1826965,Plymouth,Preston,1826965_Plymouth_Preston.csv,212,181
63,1826858,Coventry,Norwich,1826858_Coventry_Norwich.csv,17,168
64,1827055,Bristol City,Sheffield United,1827055_Bristol City_Sheffield United.csv,182,163
65,1826871,Oxford,Preston,1826871_Oxford_Preston.csv,197,181
66,1826984,Stoke,Norwich,1826984_Stoke_Norwich.csv,96,168
67,1826923,Norwich,Sheffield United,1826923_Norwich_Sheffield United.csv,168,163
68,1826974,Bristol City,Leeds,1826974_Bristol City_Leeds.csv,182,19
69,1826947,Portsmouth,Oxford,1826947_Portsmouth_Oxford.csv,169,197
70,1826914,Sheffield United,Derby,1826914_Sheffield United_Derby.csv,163,20
71,1826853,Derby,Bristol City,1826853_Derby_Bristol City.csv,20,182
72,1826875,Portsmouth,Sunderland,1826875_Portsmouth_Sunderland.csv,169,16
73,1826898,West Bromwich Albion,Plymouth,1826898_West Bromwich Albion_Plymouth.csv,175,212
74,1827030,Swansea,Preston,1827030_Swansea_Preston.csv,259,181
75,1826959,Leeds,Sheffield United,1826959_Leeds_Sheffield United.csv,19,163
76,1827078,Leeds,Luton,1827078_Leeds_Luton.csv,19,95
77,1826927,Sunderland,Burnley,1826927_Sunderland_Burnley.csv,16,184
78,1826979,Queens Park Rangers,Coventry,1826979_Queens Park Rangers_Coventry.csv,171,17
79,1826985,Sheffield Wednesday,Burnley,1826985_Sheffield Wednesday_Burnley.csv,25,184
80,1826978,Luton,Watford,1826978_Luton_Watford.csv,95,27
81,1826937,Sunderland,Coventry,1826937_Sunderland_Coventry.csv,16,17
82,1827057,Sheffield Wednesday,Watford,1827057_Sheffield Wednesday_Watford.csv,25,27
83,1826953,Watford,Middlesbrough,1826953_Watford_Middlesbrough.csv,27,21
84,1827036,Cardiff,Leeds,1827036_Cardiff_Leeds.csv,188,19
85,1826983,Hull,Burnley,1826983_Hull_Burnley.csv,214,184
86,1826989,Millwall,Derby,1826989_Millwall_Derby.csv,192,20
87,1826886,Middlesbrough,Stoke,1826886_Middlesbrough_Stoke.csv,21,96
88,1826908,Bristol City,Oxford,1826908_Bristol City_Oxford.csv,182,197
89,1826949,Sheffield United,Luton,1826949_Sheffield United_Luton.csv,163,95
90,1826869,Sunderland,Sheffield Wednesday,1826869_Sunderland_Sheffield Wednesday.csv,16,25
91,1826962,Sheffield United,Stoke,1826962_Sheffield United_Stoke.csv,163,96
92,1826876,Bristol City,Millwall,1826876_Bristol City_Millwall.csv,182,192
93,1827045,Derby,Plymouth,1827045_Derby_Plymouth.csv,20,212
94,1826912,Preston,Blackburn,1826912_Preston_Blackburn.csv,181,158
95,1826939,Stoke,Millwall,1826939_Stoke_Millwall.csv,96,192
96,1826913,Queens Park Rangers,Millwall,1826913_Queens Park Rangers_Millwall.csv,171,192
